name,job,phone,email,country, salary 
ßáíã ßÇäæ,Health promotion specialist,364.825.5564,yd17@yahoo.com,Palestinian Territory," 4,585,097.00 Ï.Ú.ş "
ÇáÏßÊæÑÉ åäÇÁ Âá Èä áÇİí,"Administrator, local government",-3966,shywqlmhn@gmail.com,Philippines," 583,323.00 Ï.Ú.ş "
ãÑíã ÇáÚŞíá,Aeronautical engineer,+1-956-753-4843x9869,rmzy95@hotmail.com,Uzbekistan," 11,486,948.00 Ï.Ú.ş "
ÇáÃÓÊÇĞÉ ÊÇáíÇ ÍÌÇÑ,Investment analyst,870.907.4108x09607,mmwnllyn@hotmail.com,Ecuador," 489,066.00 Ï.Ú.ş "
ÇáÓíÏÉ æİÇÁ ÇáÚÌáÇä,"Engineer, mining",9496207984,sdqbn-ldn@yahoo.com,South Georgia and the South Sandwich Islands," 9,824,358.00 Ï.Ú.ş "
ÇáãåäÏÓ ãäÊÕÑ Âá ÑİíÚ,Paediatric nurse,(966)281-0642,sbn-ldn@gmail.com,United States Virgin Islands," 12,041,841.00 Ï.Ú.ş "
ÇáÃÓÊÇĞÉ ÈÊáÇÁ ÇáÎÑÇİí,"Psychologist, forensic",450.535.5236,tal-khdyr@gmail.com,Nauru," 10,268,641.00 Ï.Ú.ş "
ÇáÏßÊæÑÉ ÏÇäÉ ÃÈÇ ÇáÎíá,Visual merchandiser,+1-866-959-6012x3603,knwfkhry@gmail.com,Guatemala," 749,201.00 Ï.Ú.ş "
äæøÇÑ Âá Èä ÙÇİÑ,"Accountant, chartered certified",001-213-329-1480x26047,sdqy91@hotmail.com,Brazil," 2,402,503.00 Ï.Ú.ş "
ÊÑÇäíã Âá ãÍãÏ Èä Úáí Èä ÌãÇÒ,"Scientist, research (physical sciences)",392-291-0389x60267,lqylltwf@yahoo.com,New Caledonia," 7,556,925.00 Ï.Ú.ş "
ÑÇãÇ Âá ãŞØÉ,Web designer,782-722-4073,fal-wd@yahoo.com,Colombia," 14,990,279.00 Ï.Ú.ş "
İÎÑ ÇáÏøíä ÇáãÔÇæáÉ,Colour technologist,001-660-330-0729,sbrljbr@hotmail.com,Reunion," 11,999,867.00 Ï.Ú.ş "
ÇáÃÓÊÇĞ ÔÇãá ÇáÑÇÔÏ,Event organiser,637-555-7817x408,wslbqshn@hotmail.com,Barbados," 11,209,397.00 Ï.Ú.ş "
ÇáÃÓÊÇĞ áŞãÇä Âá ÌÚİÑ,Newspaper journalist,226-456-3882,lmhnbd-lgfwr@hotmail.com,Jamaica," 4,535,797.00 Ï.Ú.ş "
ÇáÓíÏ ãÍİæÙ ÇáÌİÇáí,Local government officer,-3931,wsyl40@hotmail.com,Guatemala," 3,715,032.00 Ï.Ú.ş "
ÇáÏßÊæÑÉ ÈæÑÇä ßÇäæ,"Doctor, hospital",577.603.0307x269,xbn-ldn@gmail.com,Turkey," 8,191,956.00 Ï.Ú.ş "
åíÇã Âá ÎÖíÑ,Purchasing manager,929.376.0336x0796,nwr-ldwyn92@gmail.com,Bulgaria," 8,939,339.00 Ï.Ú.ş "
ÇáÏßÊæÑÉ ÃÑæì ßÇäæ,Building surveyor,(964)759-1580,sm79@hotmail.com,Croatia," 6,753,561.00 Ï.Ú.ş "
ÇáÏßÊæÑÉ Ìäì ÇáãåäÇ,"Psychologist, sport and exercise",5502695687,jn41@hotmail.com,Turks and Caicos Islands," 13,616,061.00 Ï.Ú.ş "
ÇáÓíÏ ÕÚÈ Âá ãŞØÉ,"Nurse, learning disability",823.368.5573,al-tfbwwd@hotmail.com,Latvia," 5,629,238.00 Ï.Ú.ş "
ÊÇáíÇ Âá ÎÖíÑ,Retail banker,(586)786-2851,zydal-bn-zfr@hotmail.com,Iraq," 1,430,323.00 Ï.Ú.ş "
ÍÓÇã ÃÈæ ÏÇææÏ,Aid worker,+1-856-927-9266x4813,bqshngzwn@hotmail.com,Bangladesh," 11,420,097.00 Ï.Ú.ş "
ÃÒåÇÑ ÍÌÇÑ,Magazine features editor,001-849-620-4646x03875,al-swdly@hotmail.com,Namibia," 6,710,237.00 Ï.Ú.ş "
ÇáÓíÏÉ äÇÏíå Âá Èä áÇİí,Special effects artist,2652607832,jwyn39@yahoo.com,Comoros," 11,780,028.00 Ï.Ú.ş "
ÇáÓíÏÉ Ñíİ Âá ÚæÇÖ,Theatre director,689-427-2443x06893,ljlnshln@hotmail.com,Syrian Arab Republic," 2,565,024.00 Ï.Ú.ş "
äæÑ ÇáÑÇÔÏ,"Administrator, Civil Service",4365656359,tywb56@yahoo.com,Iceland," 8,720,843.00 Ï.Ú.ş "
ÇáÏßÊæÑ ÑÇÌÍ ÈŞÔÇä,"Engineer, maintenance",844.906.1768x554,jal-tf@hotmail.com,Gabon," 11,774,044.00 Ï.Ú.ş "
ÇáãåäÏÓÉ ÌåÑÇÁ Âá ÇáÔíÎ,"Geologist, wellsite",001-498-592-8677,shylal-qsyr@hotmail.com,Andorra," 3,845,301.00 Ï.Ú.ş "
ËÇŞÈ ÇáãåäÇ,"Therapist, sports",+1-808-355-1962x7436,fsylfnn@hotmail.com,Botswana," 3,963,642.00 Ï.Ú.ş "
ÇáÏßÊæÑ ÚÈÏ ÇááØíİ ÇáÎÑÇİí,Research scientist (life sciences),001-377-320-3874x9058,al-lshykhmfyd@hotmail.com,Cambodia," 5,017,938.00 Ï.Ú.ş "
ÑæÈíä Âá ÕİæÇä,Police officer,950-299-8481x8611,zky41@yahoo.com,Monaco," 9,457,838.00 Ï.Ú.ş "
ÓÌì ÇáÍßíÑ,"Engineer, structural",437.204.6676,al-lskryndr@hotmail.com,Guam," 3,121,310.00 Ï.Ú.ş "
ãÑÊŞí ãåäÇ,Medical laboratory scientific officer,+1-685-462-2538x36538,al-swdqsd@hotmail.com,Mozambique," 3,696,400.00 Ï.Ú.ş "
ÇáÓíÏ ÃÍãÏ Âá ãÚíÖ,"Pilot, airline",+1-647-230-1345x3329,dknw@gmail.com,Falkland Islands (Malvinas)," 12,124,829.00 Ï.Ú.ş "
ÇáÂäÓÉ ÈíÓÇä Âá ÓÚæÏ,Geoscientist,630-633-4964x5520,bwwdknw@gmail.com,Antigua and Barbuda," 455,669.00 Ï.Ú.ş "
ÇáÃÓÊÇĞÉ ãíÇÑ ÔÑÈÊáí,Estate manager/land agent,001-603-735-3320,bd-lmjyd96@hotmail.com,Falkland Islands (Malvinas)," 7,386,151.00 Ï.Ú.ş "
ÇáãåäÏÓÉ ãÇÏáíä ÇáãÛÇæáÉ,Health promotion specialist,637-637-2776x252,njyb27@hotmail.com,Cook Islands," 13,432,196.00 Ï.Ú.ş "
ÇáãåäÏÓÉ ÃÒåÇÑ Âá Èä ÙÇİÑ,"Journalist, magazine",(261)302-1380x653,cal-lskry@gmail.com,Malaysia," 2,708,448.00 Ï.Ú.ş "
ÇáÏßÊæÑ ÕÈÍí Âá ÑİíÚ,Restaurant manager,(332)823-1615,mhnrywn@gmail.com,Lesotho," 10,060,790.00 Ï.Ú.ş "
ÌíáÇä Èä áÇÏä,Field seismologist,788.311.6780x7342,al-qsyrjwn@hotmail.com,Dominica," 5,641,779.00 Ï.Ú.ş "
äÔæÉ ÇáÍßíÑ,Midwife,001-619-499-7169x375,shrbtlylwy@gmail.com,Vanuatu," 9,898,702.00 Ï.Ú.ş "
ÇáÓíÏ ÔÌÇÚ ÇáÔÇíÚ,Insurance broker,842-592-3880x7546,twfyqshrbtly@hotmail.com,Zambia," 3,482,857.00 Ï.Ú.ş "
åÇÌÑ ÇáãÔÇæáÉ,Media buyer,382-503-6993,zz07@hotmail.com,Gibraltar," 6,767,368.00 Ï.Ú.ş "
ÇáÃÓÊÇĞÉ ÌæÏí ßÇäæ,Accounting technician,860.743.8017x34873,dwwb01@yahoo.com,Guyana," 5,939,938.00 Ï.Ú.ş "
ÌæÏí Âá ÑİíÚ,Armed forces technical officer,+1-408-381-0893x2147,gbqshn@gmail.com,Colombia," 8,268,481.00 Ï.Ú.ş "
ÇáÓíÏ ÖíÇÁ ÇáÌİÇáí,Sports coach,+1-752-409-6651x987,ysr58@gmail.com,Ethiopia," 5,555,567.00 Ï.Ú.ş "
ÈÊáÇÁ ÃÈÇ ÇáÎíá,Furniture designer,991.958.5547x41139,hsm78@hotmail.com,Qatar," 7,624,173.00 Ï.Ú.ş "
ÇáÃÓÊÇĞ ÖÇÍß ÇáÔÇíÚ,Commercial horticulturist,362.673.3354x673,zhr96@yahoo.com,Poland," 12,592,481.00 Ï.Ú.ş "
ÇáãåäÏÓ ÓÇãÍ ÍäÈæáí,Fast food restaurant manager,449.229.5144x64834,lhjr@yahoo.com,Japan," 7,465,104.00 Ï.Ú.ş "
ÇáÓíÏ íæÓİ İÕíá,Market researcher,820-664-6755,yshrbtly@hotmail.com,Burkina Faso," 8,268,178.00 Ï.Ú.ş "
íÇÓãíä Âá ÚæÇÖ,Telecommunications researcher,001-970-898-4194,lqylwsf@yahoo.com,Slovakia (Slovak Republic)," 11,706,585.00 Ï.Ú.ş "
ÈËíäÉ Âá ãÚíÖ,Financial adviser,7835626918,wsfal-lshykh@yahoo.com,Vanuatu," 12,076,837.00 Ï.Ú.ş "
ÇáÓíÏÉ ÃÑæì ÔÑÈÊáí,Patent attorney,+1-300-602-5597x254,eal-jfr@gmail.com,Argentina," 14,230,579.00 Ï.Ú.ş "
ãõÚÊÒ Âá ãÍãÏ Èä Úáí Èä ÌãÇÒ,Police officer,001-654-508-2418x1451,jmllhkyr@yahoo.com,Cape Verde," 5,634,079.00 Ï.Ú.ş "
ÇáÂäÓÉ ÊÑÇäíã ÇáÍÌÇÑ,Microbiologist,6325218797,plmshwl@gmail.com,French Guiana," 11,877,756.00 Ï.Ú.ş "
ÇáãåäÏÓ ãåÏí Âá ÓáØÇä,"Production assistant, radio",001-767-917-7020x027,btsm02@yahoo.com,Lesotho," 436,431.00 Ï.Ú.ş "
ÇáÏßÊæÑ æÕİí Âá ÇáÚÓßÑí,Clinical biochemist,001-363-900-9408x99157,ldbgrzy@hotmail.com,Somalia," 2,477,197.00 Ï.Ú.ş "
Ûæì Âá Èä ÙÇİÑ,Dealer,589.899.5029x0630,jfrb-lkhyl@hotmail.com,Gambia," 6,006,183.00 Ï.Ú.ş "
ÇáÓíÏÉ ÃÍáÇã ÈŞÔÇä,Psychiatric nurse,001-703-450-6268x367,pal-tf@gmail.com,Mauritania," 5,993,579.00 Ï.Ú.ş "
ÇáÓíÏ ÌÏíÑ Âá ÚØİÉ,Energy manager,(877)664-5749,olmgwl@yahoo.com,Iraq," 7,883,985.00 Ï.Ú.ş "
íÇÓãíä Âá Èä áÇİí,Horticultural consultant,555-206-2559,kml15@yahoo.com,Kazakhstan," 14,981,073.00 Ï.Ú.ş "
ÇáÏßÊæÑ ÙÈí Âá ÑİíÚ,"Engineer, building services",280-864-0208x720,khsh54@yahoo.com,Russian Federation," 7,809,744.00 Ï.Ú.ş "
ÇáãåäÏÓ ÍÇãÏ ÃÈÇ ÇáÎíá,Horticultural consultant,-3259,shrbtlyrywn@gmail.com,Benin," 6,304,365.00 Ï.Ú.ş "
ÅÈÇÁ Âá ÓÚæÏ,Dance movement psychotherapist,450-947-1335x633,rwylkhrfy@yahoo.com,Korea," 7,948,440.00 Ï.Ú.ş "
ÇíãÇä Âá ÕİæÇä,Chief Operating Officer,001-642-853-9394,tljfly@yahoo.com,Iran," 9,933,121.00 Ï.Ú.ş "
ãÍİæÙ Âá ÕİæÇä,Automotive engineer,305-632-2145x824,lbn-ldn@yahoo.com,South Africa," 5,651,617.00 Ï.Ú.ş "
ÈáŞíÓ Âá Úáí,"Nurse, mental health",9332923570,jmyl91@gmail.com,Libyan Arab Jamahiriya," 1,147,299.00 Ï.Ú.ş "
ÇáÂäÓÉ ÍáÇ Âá ÕİæÇä,Oncologist,001-380-806-7144x6989,zwt00@hotmail.com,Nigeria," 14,428,282.00 Ï.Ú.ş "
ÇáÃÓÊÇĞ ØãæÍ ÇáÚÌáÇä,Corporate investment banker,001-466-948-7928x8807,pljln@gmail.com,San Marino," 1,117,621.00 Ï.Ú.ş "
ÇáÓíÏ ÚãøÇÑ ÇáãÔÇæáÉ,Dispensing optician,001-512-539-0419,al-khdyrlwryn@gmail.com,United States Virgin Islands," 8,053,920.00 Ï.Ú.ş "
ÒåÏí Âá ãÍãÏ Èä Úáí Èä ÌãÇÒ,Sales executive,6688739554,yrbljfly@gmail.com,Yemen," 9,506,050.00 Ï.Ú.ş "
ãõÊíøã Âá ãÚíÖ,"Engineer, control and instrumentation",(822)607-9113x76659,kzm41@gmail.com,Sao Tome and Principe," 7,353,512.00 Ï.Ú.ş "
ÈæÑÇä Âá ÚæÇÖ,Financial planner,2979956231,yal-yd@hotmail.com,Switzerland," 2,239,428.00 Ï.Ú.ş "
ÇáÃÓÊÇĞ ãáåã ÔÑÈÊáí,Retail manager,001-909-717-7058x16807,sbh29@yahoo.com,Micronesia," 14,992,956.00 Ï.Ú.ş "
ÇáãåäÏÓÉ ÌãÇä Âá ÓÚæÏ,"Civil engineer, consulting",+1-436-670-3317x24768,mdh64@hotmail.com,Tanzania," 7,168,376.00 Ï.Ú.ş "
ÇáÃÓÊÇĞ äÈÑÇÓ Âá ÓÚæÏ,Industrial/product designer,-5233,lhjrshj@yahoo.com,Ireland," 2,737,438.00 Ï.Ú.ş "
ÇáÂäÓÉ ÏÚÇÁ ßÇäæ,Legal executive,912-448-0777x15921,zhylhkyr@yahoo.com,Nauru," 8,261,586.00 Ï.Ú.ş "
ãÙåÑ ÍÌÇÑ,"Therapist, music",365.522.6297x87909,jlmshwl@yahoo.com,Isle of Man," 7,980,032.00 Ï.Ú.ş "
ÌæÇäÇ Âá Èä ÙÇİÑ,Magazine features editor,724.308.5122x9696,lmhydblyn@gmail.com,Saint Barthelemy," 14,926,898.00 Ï.Ú.ş "
äÇÑÏíä ÍäÈæáí,"Engineer, maintenance",(536)670-8884,htmshrbtly@gmail.com,Philippines," 14,918,028.00 Ï.Ú.ş "
áæÌíä Âá ãÚíÖ,Sports coach,+1-205-488-6454x689,al-khdyrhsm@hotmail.com,Western Sahara," 1,844,555.00 Ï.Ú.ş "
ÔåÏ ÍÌÇÑ,"Engineer, maintenance",542-297-2701x23476,vlshy@hotmail.com,Bahrain," 2,076,177.00 Ï.Ú.ş "
ÇáÃÓÊÇĞ İÖá ÇáÎÑÇİí,Seismic interpreter,-4531,yal-lshykh@yahoo.com,Saint Vincent and the Grenadines," 4,662,421.00 Ï.Ú.ş "
ÇáÃÓÊÇĞÉ ÈÔÑì ÇáãÔÇæáÉ,"Nurse, learning disability",358-218-5057x991,yljbr@yahoo.com,Yemen," 13,878,665.00 Ï.Ú.ş "
ÇáÃÓÊÇĞ æÇÕİ Âá ŞÕíÑ,Clinical molecular geneticist,911.601.7233x441,hnbwlyrmzy@gmail.com,Oman," 3,766,709.00 Ï.Ú.ş "
ÇáÏßÊæÑ ÑÈíÚ ÇáÎÑÇİí,"Scientist, research (life sciences)",-4236,hsm64@yahoo.com,Kenya," 13,367,709.00 Ï.Ú.ş "
ÓáÓÈíá ÇáãÛÇæáÉ,"Pilot, airline",737-289-6724x471,lshymdh@hotmail.com,Kazakhstan," 13,929,214.00 Ï.Ú.ş "
ÇáãåäÏÓ äÒÇÑ ÇáÚŞíá,"Engineer, maintenance (IT)",286.318.1599,bqshnjswr@gmail.com,Cape Verde," 7,027,348.00 Ï.Ú.ş "
ÔÑíİ ÍäÈæáí,Farm manager,-5674,al-mydbd-lkhlq@hotmail.com,Canada," 6,301,590.00 Ï.Ú.ş "
ÇáÃÓÊÇĞ ÏÑíÏ ÇáÚÌáÇä,Research scientist (medical),(783)592-1520x43702,sjy62@hotmail.com,Jamaica," 1,010,991.00 Ï.Ú.ş "
ÑÈì ÔÑÈÊáí,"Doctor, general practice",(622)939-2991x3510,nzral-wd@hotmail.com,Bosnia and Herzegovina," 1,842,733.00 Ï.Ú.ş "
ÇáÓíÏ ÕÏŞí Âá ãŞØÉ,Animal nutritionist,001-313-641-0448x840,al-lybd-ljlyl@yahoo.com,Finland," 5,332,890.00 Ï.Ú.ş "
ÇáÃÓÊÇĞ ãäÕæÑ Âá ÓáØÇä,"Teacher, secondary school",205.498.7911,smwh94@hotmail.com,Mexico," 7,108,807.00 Ï.Ú.ş "
ÇáãåäÏÓ Ñåíİ Âá ÑİíÚ,Comptroller,603.477.2500x304,shdal-wd@yahoo.com,Jamaica," 12,419,253.00 Ï.Ú.ş "
ÇáÓíÏ ÚÈÏ ÇáÑøÔíÏ ÈŞÔÇä,Product designer,+1-904-650-1956x092,rbylmgwl@gmail.com,France," 8,971,446.00 Ï.Ú.ş "
íÓÑì Âá Úáí,Aeronautical engineer,210.382.5923x06910,nwhal-rfy@yahoo.com,Holy See (Vatican City State)," 5,168,293.00 Ï.Ú.ş "
ÎÇáÏ ÇáÚáíÇä,Actor,979.626.8478,jwn88@hotmail.com,Nauru," 11,997,438.00 Ï.Ú.ş "
ÇáÓíÏÉ äÇÑÏíä Âá ÇáÔíÎ,Chiropodist,+1-483-244-0241x31447,al-mqttl@yahoo.com,Faroe Islands," 12,347,643.00 Ï.Ú.ş "
ÏíÓã ÇáÔÇíÚ,"Designer, multimedia",376-570-1309,dal-qsyr@yahoo.com,Moldova," 8,381,537.00 Ï.Ú.ş "
ÓÇÌÏ ÃÈæ ÏÇææÏ,Chartered legal executive (England and Wales),(453)251-1316,dy04@gmail.com,France," 6,460,832.00 Ï.Ú.ş "
ÌÇÓã ÔÑÈÊáí,Sports administrator,646.391.3320x2472,qfsyl@gmail.com,Vanuatu," 11,891,202.00 Ï.Ú.ş "
åÇäí ÇáÌÇÈÑ,Conference centre manager,(962)850-0426x610,knwmdht@yahoo.com,Trinidad and Tobago," 14,841,999.00 Ï.Ú.ş "
ÑíãÇä Âá ãÍãÏ Èä Úáí Èä ÌãÇÒ,Mental health nurse,+1-823-894-1428x52309,lyn15@hotmail.com,Canada," 11,831,321.00 Ï.Ú.ş "
ÇáãåäÏÓÉ ãÇíÇ Âá ãÚíÖ,"Accountant, chartered public finance",+1-748-507-8618x7152,al-bn-zfrywsf@hotmail.com,Armenia," 4,205,680.00 Ï.Ú.ş "
íÒíÏ ÃÈÇ ÇáÎíá,Trading standards officer,2435164202,mysal-jfr@hotmail.com,Pakistan," 14,479,214.00 Ï.Ú.ş "
æÕÇİ Âá ãÚíÖ,"Engineer, civil (consulting)",519-844-5296,lshywsyl@gmail.com,Turks and Caicos Islands," 3,327,907.00 Ï.Ú.ş "
åäÇÁ ÇáÍßíÑ,Energy manager,419-671-9617,rjy09@gmail.com,Macao," 9,158,911.00 Ï.Ú.ş "
ãäÕæÑ ÈŞÔÇä,"Designer, fashion/clothing",799-445-4333x40565,zkhrlrshd@hotmail.com,Antigua and Barbuda," 11,838,233.00 Ï.Ú.ş "
ÇáÃÓÊÇĞ ÃÍãÏ ÇáãÛÇæáÉ,Tourism officer,503.358.0102,smd79@gmail.com,Sierra Leone," 13,973,486.00 Ï.Ú.ş "
ÇáÂäÓÉ áæáíÇ ÇáãÔÇæáÉ,Museum/gallery exhibitions officer,937-922-7115,tqy81@hotmail.com,Gabon," 4,424,175.00 Ï.Ú.ş "
ÂáÇÁ Âá ŞÕíÑ,"Administrator, local government",-4841,hsynal-hsyn@yahoo.com,Guernsey," 9,604,814.00 Ï.Ú.ş "
İÇÑÓ Âá ãÚíÖ,Multimedia programmer,785-663-4806,slymnal-myd@gmail.com,Tokelau," 10,688,162.00 Ï.Ú.ş "
ÇáãåäÏÓ ÍİíÙ ÇáÍßíÑ,Operations geologist,001-438-222-9650x808,tfsyl@hotmail.com,Bolivia," 12,241,439.00 Ï.Ú.ş "
Ûæì ãåäÇ,"Solicitor, Scotland",483.470.5904x4259,qhtn76@hotmail.com,Guatemala," 7,879,104.00 Ï.Ú.ş "
ÚÕãÊ Âá ÚÇíÖ,Biomedical scientist,716-754-2654x064,qdry72@hotmail.com,Uruguay," 3,008,223.00 Ï.Ú.ş "
ÇáãåäÏÓ ÒÈíÑ İÕíá,Museum/gallery conservator,594.695.5229x010,jryr14@hotmail.com,Montserrat," 4,736,037.00 Ï.Ú.ş "
ÇáÓíÏÉ åäÇÁ İÕíá,"Engineer, land",001-219-347-0295x7845,al-bn-zfrzhrn@gmail.com,Venezuela," 11,348,329.00 Ï.Ú.ş "
ÇáãåäÏÓÉ ÌæÇäÇ ÇáÎÑÇİí,"Teacher, adult education",422-865-0667,gyd16@gmail.com,Liechtenstein," 886,897.00 Ï.Ú.ş "
ÇáÓíÏ ãÇÒä Âá ãŞØÉ,Learning mentor,+1-334-527-6312x2228,swdlhkyr@gmail.com,Mongolia," 465,304.00 Ï.Ú.ş "
ãÚíä Âá ÍÓíä,"Editor, magazine features",847.364.8993,nyzyal-swd@gmail.com,Monaco," 1,376,894.00 Ï.Ú.ş "
ŞÕí ÍäÈæáí,"Journalist, newspaper",(289)421-4740x2329,bn-ldnmdht@yahoo.com,Yemen," 6,503,830.00 Ï.Ú.ş "
ÇáÓíÏÉ ÎÇÔÚÉ ÇáãÛÇæáÉ,Tax adviser,482-902-5311,whjr@hotmail.com,Montserrat," 4,133,712.00 Ï.Ú.ş "
ÇáÃÓÊÇĞÉ ÃÍáÇã Âá Èä ÙÇİÑ,Geographical information systems officer,+1-476-776-9201x58677,al-khdyrmys@yahoo.com,Cote d'Ivoire," 436,191.00 Ï.Ú.ş "
ÇÈÊåÇÌ ÇáãÛÇæáÉ,Race relations officer,225-732-7829,ywns13@hotmail.com,Svalbard & Jan Mayen Islands," 3,116,224.00 Ï.Ú.ş "
ÇÈÊÓÇã ÇáãÛÇæáÉ,"Scientist, physiological",5404896351,pal-khdyr@yahoo.com,Azerbaijan," 6,689,769.00 Ï.Ú.ş "
æÌíå ÇáÌÇÈÑ,Midwife,646-634-3586,ysrlkhrfy@gmail.com,Czech Republic," 13,645,865.00 Ï.Ú.ş "
ÇáÏßÊæÑÉ ÑæÚÉ Âá ÌÚİÑ,Materials engineer,-10653,dwwdbqshn@gmail.com,Costa Rica," 7,422,488.00 Ï.Ú.ş "
ÑÓÊã ÇáÎÑÇİí,"Surveyor, land/geomatics",467-230-4945,al-ydshd@gmail.com,Benin," 7,062,545.00 Ï.Ú.ş "
ÇáÂäÓÉ ßÇãáÉ ÃÈæ ÏÇææÏ,Proofreader,001-897-600-4533,myr25@hotmail.com,Ukraine," 10,005,977.00 Ï.Ú.ş "
ÓÈÃ Âá ÕİæÇä,Risk manager,362.579.0614x998,bn-ldnsrj@yahoo.com,Ecuador," 6,371,601.00 Ï.Ú.ş "
ÇáãåäÏÓÉ ÍíÇÉ Âá ÚØİÉ,Occupational psychologist,670.686.1945,blrshd@yahoo.com,Egypt," 4,644,375.00 Ï.Ú.ş "
ãÍÓä Âá Èä áÇİí,IT technical support officer,398-544-1751,mwfwq76@yahoo.com,Mali," 8,595,253.00 Ï.Ú.ş "
ÇáÓíÏÉ íÇÓãíä Âá ŞÕíÑ,Early years teacher,(563)991-0369x3922,wsl61@hotmail.com,Estonia," 14,031,311.00 Ï.Ú.ş "
ÇáÃÓÊÇĞÉ áæÑÇ Âá ŞÕíÑ,Barista,843.522.5379x81973,lmgwlrshdy@hotmail.com,Bahamas," 11,852,685.00 Ï.Ú.ş "
ÇáÓíÏ æáíİ ÇáÚŞíá,Theme park manager,001-243-694-9466x59830,ryjal-lskry@yahoo.com,Cambodia," 6,939,937.00 Ï.Ú.ş "
ÇáÓíÏÉ ÊÑÇäíã ÇáÔÇíÚ,Chiropodist,260-659-7426x60962,ndr71@gmail.com,Mexico," 12,336,945.00 Ï.Ú.ş "
ÈáäÏ ÃÈæ ÏÇææÏ,"Scientist, clinical (histocompatibility and immunogenetics)",938.782.5768x228,al-jfrfywd@yahoo.com,Palau," 7,492,061.00 Ï.Ú.ş "
ÚÈøÇÓ Âá ŞÕíÑ,Geophysicist/field seismologist,001-358-946-1028,mfyd64@yahoo.com,American Samoa," 4,071,861.00 Ï.Ú.ş "
ÓíøÏ ÇáÌİÇáí,Research scientist (physical sciences),202-940-0635x82309,nzm67@yahoo.com,Iceland," 3,432,159.00 Ï.Ú.ş "
İÏÇÁ ÃÈÇ ÇáÎíá,Comptroller,630.317.6632x36550,olhkyr@yahoo.com,Brunei Darussalam," 2,485,356.00 Ï.Ú.ş "
ÇáÃÓÊÇĞ æÌÏí Âá ÍÓíä,Civil Service administrator,349-972-3185,bn-ldnlyn@yahoo.com,Guyana," 797,540.00 Ï.Ú.ş "
ÇáÃÓÊÇĞÉ áæÌíä Âá Èä áÇİí,Insurance risk surveyor,485.278.9507x86074,dy26@yahoo.com,Monaco," 7,005,194.00 Ï.Ú.ş "
äÔæÉ Âá ãÍãÏ Èä Úáí Èä ÌãÇÒ,Bonds trader,797-419-8838x2442,ubn-ldn@yahoo.com,Burkina Faso," 4,760,778.00 Ï.Ú.ş "
ÇáãåäÏÓ äÔæÇä Âá ÍÓíä,International aid/development worker,518-844-1612x26411,rbal-qsyr@yahoo.com,Holy See (Vatican City State)," 3,644,793.00 Ï.Ú.ş "
ÇáÏßÊæÑ İíÕá Âá ãÚíÖ,Energy manager,742.748.0821,al-lskrykml@gmail.com,Chile," 10,119,981.00 Ï.Ú.ş "
ÇÈÊåÇá ÇáÍßíÑ,Customer service manager,9362668819,bw-dwwdgswn@gmail.com,Afghanistan," 4,088,852.00 Ï.Ú.ş "
ÇáÏßÊæÑÉ ÌæÏí ÇáÚáíÇä,Economist,+1-418-571-0118x0763,sal-yd@hotmail.com,Brunei Darussalam," 12,404,824.00 Ï.Ú.ş "
ÇáÃÓÊÇĞ ÓÇãÑ Âá ÓáØÇä,Community pharmacist,+1-621-770-6439x58759,fsylslm@yahoo.com,Algeria," 8,927,098.00 Ï.Ú.ş "
Øå ÇáÌÇÈÑ,Cartographer,448-609-9388,lqylslf@hotmail.com,Indonesia," 8,013,615.00 Ï.Ú.ş "
ÇáÂäÓÉ åäÏ Âá ÚÇíÖ,"Administrator, sports",8176292313,ryf23@hotmail.com,Luxembourg," 10,391,117.00 Ï.Ú.ş "
ÇáÃÓÊÇĞÉ æİÇÁ ÇáãåíÏÈ,Armed forces operational officer,980.763.0774x9141,kf53@yahoo.com,Georgia," 12,812,474.00 Ï.Ú.ş "
ÇáãåäÏÓ äæÍ Âá ÚØİÉ,"Engineer, broadcasting (operations)",671.572.0932,tlbal-yd@gmail.com,South Africa," 1,747,190.00 Ï.Ú.ş "
áÊíä ÇáÚÌáÇä,Land,001-853-250-9094,yal-bn-zfr@gmail.com,Lithuania," 6,658,451.00 Ï.Ú.ş "
ÇáÏßÊæÑ ÕáÇÍ Èä áÇÏä,Primary school teacher,+1-907-750-7722x6803,fal-sltn@gmail.com,Oman," 4,916,481.00 Ï.Ú.ş "
ÕÈÇÍ ÇáÎÑÇİí,Environmental manager,223.396.1554x7932,mhntmr@yahoo.com,Malawi," 1,263,004.00 Ï.Ú.ş "
ÇáÂäÓÉ Ãáíä Âá ãŞØÉ,Customer service manager,001-976-545-6612x8356,al-bn-zfrrjh@hotmail.com,Czech Republic," 11,542,136.00 Ï.Ú.ş "
ÇáÏßÊæÑ İÇÖá ßÇäæ,"Psychologist, occupational",(954)846-4302x3056,ubqshn@gmail.com,Christmas Island," 13,710,443.00 Ï.Ú.ş "
ÇáÏßÊæÑ ÕÈÑí ÍäÈæáí,Health promotion specialist,584-887-5165,ubw-dwwd@hotmail.com,Niger," 13,330,002.00 Ï.Ú.ş "
ÇáÃÓÊÇĞ ãäÓí ÇáÍÌÇÑ,"Merchandiser, retail",(313)718-9801,pal-yd@yahoo.com,Cape Verde," 9,419,754.00 Ï.Ú.ş "
